DATA: 5885 x 13
Ep!
Feature 0
0.239705	rho[0][4]
-0.238762	rho[0][3]
0.214708	rho[0][6]
-0.200346	rho[0][5]
0.166592	rho[0][8]
-0.157293	rho[0][9]
0.0963994	rho[0][2]
-0.0817719	rho[0][7]
-0.0512203	rho[0][1]
-0.0223374	rho[0][11]
-0.019898	rho[0][10]
0.00813102	rho[0][12]

Feature 1
0.719864	rho[1][3]
0.590315	rho[1][5]
-0.545135	rho[1][2]
0.524572	rho[1][9]
-0.473916	rho[1][4]
0.4717	rho[1][7]
0.363569	rho[1][11]
-0.239702	rho[1][6]
0.0736695	rho[1][12]
-0.0586562	rho[1][8]
-0.0512203	rho[1][0]
0.0134965	rho[1][10]

Feature 2
0.713827	rho[2][4]
-0.630956	rho[2][3]
-0.556692	rho[2][5]
-0.545135	rho[2][1]
0.337702	rho[2][6]
-0.304912	rho[2][7]
-0.223881	rho[2][9]
0.206024	rho[2][8]
0.203257	rho[2][10]
-0.143343	rho[2][11]
0.0963994	rho[2][0]
-0.0566125	rho[2][12]

Feature 3
0.751685	rho[3][5]
0.719864	rho[3][1]
-0.710917	rho[3][4]
-0.630956	rho[3][2]
0.491603	rho[3][7]
-0.427632	rho[3][6]
0.404423	rho[3][9]
-0.238762	rho[3][0]
0.20127	rho[3][11]
0.161527	rho[3][12]
-0.11376	rho[3][8]
0.0574835	rho[3][10]

Feature 4
-0.80825	rho[4][5]
0.713827	rho[4][2]
-0.710917	rho[4][3]
0.625339	rho[4][6]
-0.491999	rho[4][7]
-0.473916	rho[4][1]
0.351139	rho[4][8]
-0.305054	rho[4][9]
0.239705	rho[4][0]
-0.0934659	rho[4][11]
0.0791182	rho[4][10]
-0.0329838	rho[4][12]

Feature 5
-0.80825	rho[5][4]
0.751685	rho[5][3]
0.712307	rho[5][7]
-0.707412	rho[5][6]
0.590315	rho[5][1]
-0.556692	rho[5][2]
0.429103	rho[5][9]
-0.345586	rho[5][8]
0.201525	rho[5][11]
-0.200346	rho[5][0]
0.0679267	rho[5][12]
-0.0499465	rho[5][10]

Feature 6
-0.723483	rho[6][7]
-0.707412	rho[6][5]
0.625339	rho[6][4]
0.508925	rho[6][8]
-0.427632	rho[6][3]
0.337702	rho[6][2]
-0.337056	rho[6][9]
-0.239702	rho[6][1]
0.214708	rho[6][0]
0.14262	rho[6][10]
-0.129641	rho[6][11]
0.0472046	rho[6][12]

Feature 7
-0.723483	rho[7][6]
0.712307	rho[7][5]
-0.635112	rho[7][8]
0.587527	rho[7][9]
-0.491999	rho[7][4]
0.491603	rho[7][3]
0.4717	rho[7][1]
0.316666	rho[7][11]
-0.304912	rho[7][2]
-0.237912	rho[7][10]
-0.0817719	rho[7][0]
-0.0185841	rho[7][12]

Feature 8
-0.635112	rho[8][7]
-0.607626	rho[8][9]
0.52351	rho[8][10]
0.508925	rho[8][6]
0.351139	rho[8][4]
-0.345586	rho[8][5]
-0.288591	rho[8][11]
0.206024	rho[8][2]
0.187113	rho[8][12]
0.166592	rho[8][0]
-0.11376	rho[8][3]
-0.0586562	rho[8][1]

Feature 9
-0.607626	rho[9][8]
0.587527	rho[9][7]
0.576102	rho[9][11]
-0.53608	rho[9][10]
0.524572	rho[9][1]
0.429103	rho[9][5]
0.404423	rho[9][3]
-0.337056	rho[9][6]
-0.305054	rho[9][4]
-0.223881	rho[9][2]
-0.22246	rho[9][12]
-0.157293	rho[9][0]

Feature 10
-0.616779	rho[10][11]
-0.53608	rho[10][9]
0.52351	rho[10][8]
0.447495	rho[10][12]
-0.237912	rho[10][7]
0.203257	rho[10][2]
0.14262	rho[10][6]
0.0791182	rho[10][4]
0.0574835	rho[10][3]
-0.0499465	rho[10][5]
-0.019898	rho[10][0]
0.0134965	rho[10][1]

Feature 11
-0.616779	rho[11][10]
0.576102	rho[11][9]
-0.567697	rho[11][12]
0.363569	rho[11][1]
0.316666	rho[11][7]
-0.288591	rho[11][8]
0.201525	rho[11][5]
0.20127	rho[11][3]
-0.143343	rho[11][2]
-0.129641	rho[11][6]
-0.0934659	rho[11][4]
-0.0223374	rho[11][0]

Feature 12
-0.567697	rho[12][11]
0.447495	rho[12][10]
-0.22246	rho[12][9]
0.187113	rho[12][8]
0.161527	rho[12][3]
0.0736695	rho[12][1]
0.0679267	rho[12][5]
-0.0566125	rho[12][2]
0.0472046	rho[12][6]
-0.0329838	rho[12][4]
-0.0185841	rho[12][7]
0.00813102	rho[12][0]

