DATA: 5885 x 16
Ep!
Feature 0
-0.331423	rho[0][14]
-0.311134	rho[0][8]
-0.303997	rho[0][5]
-0.273073	rho[0][3]
-0.250903	rho[0][9]
-0.227845	rho[0][4]
-0.198492	rho[0][10]
-0.193871	rho[0][15]
-0.123944	rho[0][6]
-0.0961864	rho[0][11]
-0.083313	rho[0][7]
0.0573729	rho[0][2]
-0.0571642	rho[0][13]
-0.0536112	rho[0][12]
0.0501476	rho[0][1]

Feature 1
-0.361662	rho[1][4]
0.339524	rho[1][2]
-0.296649	rho[1][5]
-0.295843	rho[1][6]
-0.202656	rho[1][11]
-0.193744	rho[1][3]
-0.11222	rho[1][15]
0.0972288	rho[1][10]
0.0501476	rho[1][0]
-0.0348006	rho[1][13]
-0.0337278	rho[1][7]
0.0281705	rho[1][14]
-0.0241438	rho[1][8]
-0.0143577	rho[1][9]
-0.00647577	rho[1][12]

Feature 2
-0.348349	rho[2][4]
0.339524	rho[2][1]
-0.31964	rho[2][6]
0.181958	rho[2][13]
-0.144359	rho[2][5]
0.13042	rho[2][10]
-0.0716147	rho[2][12]
-0.0711192	rho[2][15]
0.0588095	rho[2][3]
0.0573729	rho[2][0]
-0.0448755	rho[2][7]
-0.0418571	rho[2][14]
0.0415224	rho[2][9]
-0.0266517	rho[2][11]
-0.0190206	rho[2][8]

Feature 3
-0.273073	rho[3][0]
-0.193744	rho[3][1]
0.134498	rho[3][11]
-0.132842	rho[3][7]
0.112386	rho[3][10]
0.105529	rho[3][14]
0.102654	rho[3][4]
0.0961019	rho[3][8]
0.0867983	rho[3][13]
0.074297	rho[3][5]
0.0588095	rho[3][2]
0.028618	rho[3][12]
0.0281862	rho[3][9]
-0.0223432	rho[3][6]
0.0107669	rho[3][15]

Feature 4
-0.361662	rho[4][1]
-0.348349	rho[4][2]
-0.227845	rho[4][0]
0.162348	rho[4][11]
-0.144575	rho[4][13]
0.121604	rho[4][6]
-0.114765	rho[4][10]
0.102654	rho[4][3]
-0.0661133	rho[4][8]
0.0648441	rho[4][9]
0.0459612	rho[4][7]
0.0433332	rho[4][14]
-0.0201368	rho[4][5]
0.0196388	rho[4][12]
-0.00778473	rho[4][15]

Feature 5
-0.303997	rho[5][0]
-0.296649	rho[5][1]
0.175458	rho[5][8]
0.162749	rho[5][6]
0.156936	rho[5][15]
-0.144359	rho[5][2]
0.113323	rho[5][7]
0.102927	rho[5][14]
-0.0946528	rho[5][9]
0.074297	rho[5][3]
-0.06958	rho[5][11]
0.067363	rho[5][13]
-0.0201368	rho[5][4]
0.0134523	rho[5][12]
0.0101833	rho[5][10]

Feature 6
-0.31964	rho[6][2]
-0.295843	rho[6][1]
-0.237788	rho[6][10]
0.192491	rho[6][15]
0.162749	rho[6][5]
-0.123944	rho[6][0]
0.121604	rho[6][4]
-0.0975805	rho[6][8]
-0.0908349	rho[6][7]
-0.0688487	rho[6][14]
0.0612661	rho[6][11]
-0.0525562	rho[6][12]
-0.0255586	rho[6][9]
-0.0223432	rho[6][3]
-0.00590179	rho[6][13]

Feature 7
-0.186629	rho[7][11]
0.177835	rho[7][14]
-0.172928	rho[7][9]
-0.132842	rho[7][3]
0.113323	rho[7][5]
-0.0908349	rho[7][6]
-0.083313	rho[7][0]
0.0781553	rho[7][15]
-0.0766877	rho[7][12]
0.0459612	rho[7][4]
-0.0448755	rho[7][2]
-0.0337278	rho[7][1]
-0.0203768	rho[7][10]
0.00492766	rho[7][8]
0.00448544	rho[7][13]

Feature 8
-0.311134	rho[8][0]
0.225201	rho[8][15]
0.175458	rho[8][5]
0.169343	rho[8][13]
-0.134016	rho[8][12]
-0.122728	rho[8][11]
-0.0975805	rho[8][6]
0.0961019	rho[8][3]
-0.0661133	rho[8][4]
-0.0641316	rho[8][9]
0.0583348	rho[8][14]
0.0480416	rho[8][10]
-0.0241438	rho[8][1]
-0.0190206	rho[8][2]
0.00492766	rho[8][7]

Feature 9
-0.250903	rho[9][0]
0.195297	rho[9][14]
-0.172928	rho[9][7]
-0.0951931	rho[9][15]
-0.0946528	rho[9][5]
-0.0803279	rho[9][13]
0.0648441	rho[9][4]
-0.0641316	rho[9][8]
0.0415224	rho[9][2]
0.0281862	rho[9][3]
-0.0255586	rho[9][6]
-0.0143577	rho[9][1]
0.00959635	rho[9][12]
0.00777834	rho[9][11]
0.00754279	rho[9][10]

Feature 10
-0.237788	rho[10][6]
-0.198492	rho[10][0]
